plot_id,title,area,location,category_type,property_type,room_count,status,price_per_sqft,size,unit,zoning,description,beds,baths,garage,year_built,demand,agent_name,agent_role,agent_contact,is_public,lat,lng,current_price,past_year_gain,price_change,circle_rate,market_rate,rera_number,is_verified,site_status,developer_name,flood_risk,price_2020,price_2021,price_2022,price_2023,price_2024,price_2025
HYD-001,Lakeview Villa,Gachibowli,Hyderabad,residential,Villa,4,Available,7200,2400,sq.ft,Residential,Spacious 4BHK villa with private garden and lake-facing balcony. Gated community with clubhouse and swimming pool.,4,4,2,2022,High,Priya Sharma,Senior Agent,+91 98765 43210,true,17.4401,78.3489,17280000,14,+14% YoY,5800,7200,TS/RERA/05/2022/001,true,developed,Prestige Group,low,12500000,13200000,14500000,15200000,16800000,17280000
HYD-002,Tech Park Office,HITEC City,Hyderabad,commercial,Office,0,Available,9800,4500,sq.ft,Commercial,Grade A office space in IT corridor. 24/7 security with dedicated parking and fiber connectivity.,0,4,6,2019,High,Rohit Verma,Commercial Specialist,+91 99887 66554,true,17.4486,78.3782,44100000,11,+11% YoY,7500,9800,TS/RERA/05/2019/045,true,developed,DLF Cyber City,low,32000000,35000000,38000000,40500000,43200000,44100000
HYD-003,Green Meadows Apartment,Kondapur,Hyderabad,residential,Apartment,3,Available,6500,1650,sq.ft,Residential,Modern 3BHK with modular kitchen and covered parking. Walking distance to schools and hospitals.,3,3,1,2023,High,Ananya Reddy,Property Advisor,+91 91234 56780,true,17.4575,78.3685,10725000,12,+12% YoY,5200,6500,TS/RERA/05/2023/112,true,developed,My Home Group,low,7800000,8500000,9200000,9800000,10400000,10725000
HYD-004,Skyline Penthouse,Banjara Hills,Hyderabad,residential,Penthouse,4,Available,14500,3200,sq.ft,Residential,Ultra-luxury penthouse with panoramic city views and private terrace garden. Italian marble flooring.,4,5,2,2021,High,Karan Malhotra,Luxury Specialist,+91 98001 23456,true,17.4156,78.4489,46400000,9,+9% YoY,11000,14500,TS/RERA/05/2021/078,true,developed,Phoenix Group,low,35000000,37500000,40000000,42000000,44500000,46400000
HYD-005,Sunrise Residency,Madhapur,Hyderabad,residential,Apartment,3,Available,7100,1800,sq.ft,Residential,Premium 3BHK with smart home automation. Rooftop infinity pool and fully equipped gym.,3,3,1,2024,High,Meera Joshi,Senior Agent,+91 87654 32109,true,17.4484,78.3908,12780000,15,+15% YoY,5600,7100,TS/RERA/05/2024/034,true,under_construction,Aparna Constructions,low,0,0,8500000,9800000,11200000,12780000
HYD-006,Heritage Commercial Complex,Jubilee Hills,Hyderabad,commercial,Retail,0,Available,12000,3800,sq.ft,Commercial,Prime retail space on Road No. 36. Ground floor with full glass frontage and excellent footfall.,0,3,4,2018,Medium,Suresh Babu,Commercial Head,+91 99001 22334,true,17.4325,78.4072,45600000,8,+8% YoY,9500,12000,TS/RERA/05/2018/156,true,developed,Lanco Hills,low,33000000,35500000,38000000,41000000,43500000,45600000
HYD-007,Garden View Flat,Kukatpally,Hyderabad,residential,Apartment,2,Available,4800,1200,sq.ft,Residential,Well-ventilated 2BHK near KPHB Metro. Ideal for young professionals with play area.,2,2,1,2020,Medium,Lakshmi Devi,Property Advisor,+91 90001 45678,true,17.4849,78.3867,5760000,10,+10% YoY,3800,4800,,true,developed,Manjeera Group,low,4200000,4500000,4900000,5200000,5500000,5760000
HYD-008,Royal Orchid Villa,Manikonda,Hyderabad,residential,Villa,3,Available,5900,2100,sq.ft,Residential,Independent 3BHK villa with landscaped garden. Corner plot near Outer Ring Road.,3,3,2,2021,Medium,Ravi Teja,Senior Agent,+91 81234 99876,true,17.4052,78.3872,12390000,11,+11% YoY,4600,5900,TS/RERA/05/2021/203,true,developed,Aliens Group,low,8500000,9200000,10000000,10800000,11700000,12390000
HYD-009,Techno Tower,Nanakramguda,Hyderabad,commercial,Office,0,Available,8500,6000,sq.ft,Commercial,Co-working and office space near Financial District. LEED certified green building.,0,6,10,2023,High,Vikram Singh,Commercial Specialist,+91 99887 11223,true,17.4156,78.3772,51000000,13,+13% YoY,6800,8500,TS/RERA/05/2023/067,true,developed,Raheja IT Park,low,0,0,38000000,42000000,46500000,51000000
HYD-010,Pearl Heights,Miyapur,Hyderabad,residential,Apartment,2,Available,4200,1100,sq.ft,Residential,Budget-friendly 2BHK with metro connectivity. Vastu-compliant east-facing balcony.,2,2,1,2022,Medium,Sneha Kumari,Property Advisor,+91 70001 23456,true,17.4965,78.3538,4620000,9,+9% YoY,3200,4200,,false,developed,SLN Developers,medium,3200000,3500000,3800000,4100000,4400000,4620000
HYD-011,Millennium Tower,Financial District,Hyderabad,commercial,Office,0,Available,11500,5200,sq.ft,Commercial,Premium Grade A+ office in Financial District. Floor-to-ceiling glass with 360-degree views.,0,5,8,2024,High,Anil Kumar,Commercial Head,+91 98765 11122,true,17.4215,78.3749,59800000,16,+16% YoY,9200,11500,TS/RERA/05/2024/012,true,under_construction,Salarpuria Sattva,low,0,0,0,42000000,52000000,59800000
